x_alaee,lambda_nm,mie_ED_min,mie_ED_max,mie_MD_min,mie_MD_max,mie_EQ_min,mie_EQ_max,mie_MQ_min,mie_MQ_max,table2_ED_min,table2_ED_max,table2_MD_min,table2_MD_max,table2_EQ_min,table2_EQ_max,table2_MQ_min,table2_MQ_max
0.4289092521430683,1165.7477601654032,1.943677788485928,1.9616409877054686,0.32381454267698984,0.3329802483092673,0.11472499309378131,0.11765934466208632,0.00839876152444521,0.008814548690597106,1.9446452617352283,1.9618108356371788,0.32402793068027136,0.33324871648643745,0.11481732302478014,0.11773692725597695,0.008407096416095867,0.008824954310764696
0.43245639964528526,1156.185919343814,1.9514572337518854,1.9699941714650886,0.3350172335735325,0.3446702872618708,0.12513148474119629,0.1283212132589269,0.009003540373738557,0.009462738557749154,1.952420893587181,1.970162981385443,0.33523646527275985,0.3449471542299322,0.12523179895318184,0.1284052276140837,0.009012423825777901,0.009473876353666396
0.4360035471475022,1146.7796610169491,1.9592366790178428,1.9775360809358673,0.34621992447007516,0.35636032621447433,0.13553797638861123,0.1389830818557675,0.009608319223031903,0.010110928424901204,1.9601965254391336,1.977703724312851,0.3464449998652484,0.35664559197342693,0.13564627488158357,0.13907352797219047,0.009617751235459935,0.010122798396568095
0.4395506946497192,1137.5252185608608,1.9656989454504807,1.9842596758927498,0.35790970186854953,0.3683439354841446,0.14744828716647745,0.15145479681863425,0.010288568474856992,0.010820340727295262,1.9666512643714387,1.9844260663907225,0.35814072771695105,0.3686369019052227,0.14756530186067704,0.15155263301097568,0.010298608422221432,0.010832974709541407
0.44309784215193615,1128.418945963976,1.97158644293767,1.9901992352636262,0.3697310498887496,0.3804556481648985,0.16001480992854059,0.16441538308189993,0.01098920360833475,0.011556468274158559,1.9725296136660797,1.990364281240147,0.369968055027397,0.38075601061009523,0.1601408602073451,0.1645208682077839,0.010999867528744081,0.011569880158545966
0.4466449896541531,1119.4573130377235,1.9770962730204844,1.99539038181571,0.3816398399280937,0.3926948619607739,0.17300408433001122,0.17775497739101073,0.011704931442494166,0.012312789874600098,1.9780305104166016,1.9955539825072992,0.38188284097758174,0.3930027883557077,0.173139493147146,0.1778683060860971,0.011716230905734632,0.012327003742124424
0.4501921371563701,1110.6369008535785,1.9808526472972743,1.9998480350079157,0.3940819022685826,0.4055260452197131,0.18795613420015944,0.19340598324732386,0.01251270334541806,0.013162869580940624,1.981778948926571,2.0000100997622687,0.3943310005909669,0.405842315219041,0.18810240098363507,0.19352834251309375,0.012524708910776745,0.013177997236224561
0.45373928465858704,1101.9543973941368,1.984609021574064,2.003578351190711,0.40652396460907153,0.4183572284786523,0.20290818407030767,0.20905698910363701,0.013320475248341953,0.01401294928728115,1.9855273874365404,2.003738806009087,0.40677916020435195,0.4186818420823743,0.2030653088201241,0.2091883789400904,0.013333186915818859,0.014028990730324698
0.457286432160804,1093.4065934065934,1.9871682042062315,2.006604798249673,0.41927505276124194,0.431550930966871,0.21970565972101083,0.2262420970431349,0.014187558136007349,0.014939820557793271,1.9880773359047814,2.0067635730193527,0.4195364168926945,0.4318837857552135,0.21987472871855956,0.22638329117902542,0.014201021225921031,0.01495683955162788
0.46083357966302096,1084.990378447723,1.9891057680998454,2.0088427166923406,0.4323421448921629,0.4449328645933695,0.23746133721930976,0.24499594889906479,0.015115291320358132,0.015906564371240644,1.9900049914667401,2.008999734661748,0.4326097504322723,0.4452739073868346,0.23764291449531336,0.2451477385348533,0.015129552176413359,0.015924594023594182
0.4643807271652379,1076.702737110121,1.990828492442538,2.0104220151196306,0.44540923702308377,0.45840589062526815,0.2556547154396248,0.26374980075499466,0.016043024504708913,0.016892002386173954,1.9917177825415804,2.0105772139007585,0.4456830839718501,0.4587551781848173,0.2558490875748563,0.2639121858906812,0.016058083126905685,0.01691106135755289
0.4679278746674549,1068.5407454200886,1.9912231177431723,2.0113862883264573,0.4590035627731234,0.4724420333450952,0.2765538799414942,0.28550817243920434,0.017083499655786184,0.01799300455574761,1.9921023204233237,2.0115395850141313,0.45928375509180436,0.4727999165566719,0.2767628185261873,0.2856826194950288,0.017099440051571296,0.018013208202010134
0.47147502216967185,1060.5015673981193,1.9916177430438065,2.011739575325716,0.4726924203381301,0.4864781760649223,0.29745304444336357,0.30780524784444513,0.01814418919067955,0.019094006725321272,1.992486858305067,2.0118909024617078,0.47297897666674793,0.48684465492852647,0.29767654947751826,0.30799201974629425,0.01816102642240132,0.019115355046467372
0.4750221696718888,1052.5824517734911,1.99124732092381,2.01151349682323,0.4865050544561045,0.5007285633396341,0.3206712519688937,0.3309085839135862,0.019234333170914282,0.020272941995959564,1.9921036554087121,2.0121837066757298,0.48679798954668435,0.501102705878895,0.3209101268643411,0.33110805649330305,0.019252088293380515,0.020295453785229737
0.4785693171741058,1044.7807288449662,1.9904085024238352,2.010634137290496,0.5008081670617802,0.5151101207499895,0.34530928175380793,0.3572068183834449,0.02044119369770596,0.021499591410106822,1.9912504071380117,2.011234077312601,0.5011075393708777,0.5154913563671293,0.34556401839534273,0.3574204809169032,0.020459950142956426,0.02152327817356667
0.48211646467632274,1037.0938074800736,1.9893990142120284,2.0096337729741784,0.5151112796674561,0.5295717565373186,0.3703308099230111,0.3835050528533037,0.021648054224497636,0.02274364940027334,1.9902267280276782,2.010284447949472,0.5154170891950712,0.5299602246334573,0.3706016929383475,0.3837329053405033,0.02166781199253234,0.022768532282016904
0.48566361217853976,1029.5191722458917,1.986874832307714,2.007886596936037,0.5297517816682688,0.5447440879202885,0.39875588625278025,0.4122659395646835,0.022944077762177238,0.02414220850261086,1.9876904752156022,2.008527230585668,0.5300640589926225,0.5451410256803678,0.399045441712882,0.4125090822461199,0.022964898800350672,0.024168475156472725
