x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.45,1111.111111111111,12.933298965702665,10.444365521368834,2.4889334443338313,2.4525732725428995,-1.6056803967263142,0.2576736236058896,2.067263426798219
0.4525,1104.9723756906078,13.11494948019206,10.550353777236772,2.5645957029552875,2.4550205275423713,-1.6055052656818536,0.2547603038549153,2.108381777331902
0.455,1098.901098901099,13.301148750137955,10.659624615573218,2.6415241345647367,2.4569702831995746,-1.6056575493125784,0.25118256003878225,2.1501667222520315
0.4575,1092.8961748633878,13.492097476001188,10.772456968149994,2.719640507851194,2.458435125175226,-1.6061364877595141,0.24689599265570994,2.1926153704660427
0.45999999999999996,1086.9565217391305,13.687701611784187,10.888919387641778,2.7987822241424087,2.459390733295506,-1.606928987985214,0.2418570521293408,2.2357064267636977
0.4625,1081.081081081081,13.88788925443571,11.009117020382941,2.878772234052768,2.4598182074986004,-1.6080240851392762,0.2360192300839819,2.27941595702422
0.46499999999999997,1075.268817204301,14.093220128118409,11.133640305927191,2.959579822191218,2.4597783688140527,-1.6094359689419773,0.22932812792921073,2.32375449995243
0.4675,1069.51871657754,14.303986796416176,11.262886593517015,3.0411002028991607,2.4592975315952335,-1.6111670464790802,0.22173054931197486,2.3687166903932297
0.47,1063.8297872340427,14.520347431596553,11.397166251152722,3.123181180443831,2.4583859677205813,-1.6132143127165146,0.21317266606147475,2.414287236639816
0.47250000000000003,1058.2010582010582,14.742448389660357,11.536795852642157,3.2056525370181994,2.4570537131546746,-1.6155741582208714,0.20359870826777604,2.460447753075403
0.475,1052.6315789473686,14.970422112601723,11.6820966920206,3.2883254205811223,2.4553102221107896,-1.6182428781474294,0.19295135008697487,2.507176417730656
0.47750000000000004,1047.1204188481674,15.2043867583216,11.833395543860536,3.370991214461064,2.453164738335347,-1.6212164378738017,0.1811716276399551,2.554447812701551
0.48,1041.6666666666667,15.44444100158183,11.991021571300001,3.453419430281828,2.4506259417861718,-1.6244903931630954,0.1681990914905941,2.6022324114438775
0.48250000000000004,1036.2694300518133,15.690664224199418,12.1553067599339,3.535357464265518,2.447702131913176,-1.6280601600281146,0.15397207787954306,2.650496408635521
0.485,1030.9278350515465,15.94311412926583,12.32658502071745,3.616529108548379,2.4444013641134115,-1.6319207959543014,0.1384277438710449,2.699201432988093
0.48750000000000004,1025.6410256410256,16.201821923639017,12.50518874585402,3.696633177784996,2.4407310506108053,-1.6360672447274067,0.12150254736957831,2.74830401592256
0.49,1020.4081632653061,16.46679586936975,12.691451824454754,3.7753440449149966,2.436698751273973,-1.6404942656966512,0.10313229196249006,2.7977557719501855
0.4925,1015.2284263959391,16.7380101363376,12.885701588462608,3.8523085478749923,2.4323111651971963,-1.6451965097558814,0.08325276116580026,2.8475024063273393
0.495,1010.1010101010102,17.01540805972644,13.088261852354186,3.927146207372253,2.4275750523857424,-1.6501681831374604,0.0617995958031132,2.89748394336883
0.4975,1005.0251256281407,17.298896213519036,13.299447446787367,3.9994487667316694,2.4224965992501963,-1.655403625448914,0.03870931517234072,2.947634113303371
0.5,1000.0,17.58834211469401,13.519562603054073,4.068779511639939,2.4170816630864556,-1.6608970702376669,0.013919574461678314,2.997880170418419
0.5025,995.0248756218906,17.883572847823512,13.748900068170581,4.134672779652931,2.4113361324635503,-1.6666423134162658,-0.01263071981613126,3.048142839196786
0.505,990.09900990099,18.184366612026402,13.987732920418757,4.196633691607644,2.4052650783083007,-1.6726333601729957,-0.04099999143248232,3.0983355464242246
0.5075000000000001,985.2216748768471,18.490460661190806,14.23631977080288,4.2541408903879265,2.398874038848657,-1.6788640218482926,-0.07124412894185671,3.1483652706068637
0.51,980.3921568627451,18.801450089111135,14.494528047150176,4.306922041960959,2.392100296956493,-1.6854454652131545,-0.10326682289773272,3.198111287227637
0.5125,975.6097560975611,19.117003857133653,14.762768241872124,4.35423561526153,2.384995459776989,-1.69228889259342,-0.1372048066065637,3.247481125276295
0.515,970.8737864077669,19.436716178645298,15.041300438579164,4.3954157400661344,2.377581660599158,-1.6993570644169216,-0.1731365735464203,3.2963663207150917
0.5175000000000001,966.183574879227,19.76010073219646,15.33026651627634,4.429834215920119,2.3698643900937686,-1.7066406461799404,-0.21110127906428486,3.3446460888330005
0.52,961.5384615384615,20.086611585475495,15.629761531959376,4.456850053516119,2.361847473616257,-1.7141331831265085,-0.25112760842564985,3.392192572900158
0.5225,956.9377990430622,20.415642132139887,15.939837180131887,4.475804952008,2.3535345948528845,-1.7218281828693902,-0.2932365113114173,3.438871486415443
0.525,952.3809523809523,20.74651952532878,16.260494884773543,4.486024640555236,2.3449290675869445,-1.7297189049521455,-0.3374404190436859,3.484542102882583
0.5275000000000001,947.8672985781989,21.07851040019041,16.5916845922252,4.486825807965211,2.336034136189707,-1.737798704211944,-0.3837420880592207,3.52905831465535
0.53,943.3962264150942,21.410818490498613,16.933299058413514,4.477519432085099,2.3268528404397797,-1.7460608889863403,-0.43213378590496165,3.5722690425649097
0.5325,938.9671361502348,21.74258388208459,17.28516881648266,4.4574150656019285,2.3173879424318287,-1.7544986410281904,-0.4825964639846705,3.614018840285132
0.535,934.5794392523364,22.072891032237262,17.647061669786734,4.4258293624505285,2.3076421953914577,-1.763105289134506,-0.5350987619475149,3.6541493654028874
0.5375000000000001,930.2325581395347,22.40076859852612,18.018677760922674,4.382090837603446,2.297618195669002,-1.7718741533903934,-0.5895963550923584,3.6925001486886533
0.54,925.9259259259259,22.725186111812192,18.399642916356264,4.3255431954559285,2.2873181026341807,-1.7807982474171966,-0.6460314529328255,3.728909086179429
0.5425,921.6589861751153,23.045075280550343,18.789515309059922,4.25555997149042,2.2767442937627504,-1.7898709579719592,-0.704331867923675,3.7632152841692146
0.5449999999999999,917.4311926605506,23.35931947625759,19.18777521235703,4.171544263900557,2.265898709180033,-1.7990853553976853,-0.7644109842343877,3.795258917013337
0.5475,913.2420091324201,23.66677141847744,19.593830216350486,4.072941202126952,2.254783266370161,-1.8084346233699438,-0.8261672711631568,3.824883748982468
