x_2a_over_lambda,lambda_nm,material_covered,ED_exact,ED_approx,ED_error_percent,MD_exact,MD_approx,MD_error_percent,EQ_exact,EQ_approx,EQ_error_percent,MQ_exact,MQ_approx,MQ_error_percent,total_exact,total_approx
0.355,1408.4507042253522,1.0,8.306671848021079,10.946836704341115,31.7836662459347,0.5945865272271952,156.2361478473043,26176.435925297294,0.0701120597136026,0.06980033709970598,0.4446062705473998,0.006704810428062396,0.328856978870351,4804.791602965372,8.978075245389938,167.58164186761547
0.3575,1398.6013986013986,1.0,8.441363150514892,11.429596704353179,35.399893365042765,0.6140602793183207,162.36782379277952,26341.67507024342,0.07545821762853047,0.07493978975943336,0.687039643116484,0.007133299256427099,0.351492689615433,4827.4911507285815,9.13801494671817,174.22385297650757
0.36,1388.888888888889,1.0,8.571666025343315,11.930239195504624,39.182268187202155,0.6339785737897263,168.70118494870496,26509.91899777651,0.08117906689025894,0.08041884444392404,0.9364759604376864,0.0075852324518172025,0.3755262598740408,4850.7548023010895,9.294408898475117,181.08736924852755
0.3625,1379.3103448275863,1.0,8.697399732743067,12.44929227195345,43.13809476970051,0.6543462802174118,175.24558070610627,26681.779923602455,0.08729863359043835,0.08625735571664817,1.1927768293319947,0.008061708992243417,0.40104326899327347,4874.668142687087,9.447106355543161,188.18217360276964
0.365,1369.86301369863,1.0,8.818833482176574,12.987359602330097,47.26845255189794,0.675166959472564,181.99186524563936,26855.09054350204,0.09384335314526855,0.09247656468758139,1.4564573961582397,0.008563656407712464,0.42809052162361005,4898.922203815534,9.596407451202118,195.49979193428064
0.3675,1360.544217687075,1.0,8.935928370391641,13.545014681523801,51.5792665304249,0.696445301088831,188.9446061440734,27029.85583342656,0.10084060728603009,0.0990985533439512,1.7275321806994068,0.009092183532878897,0.45674735553341445,4923.516671014587,9.742306462299382,203.04546673447456
0.37,1351.3513513513515,1.0,9.048658719978402,14.122845039294537,56.076668115606054,0.7181858980283724,196.10841123331534,27206.079355176636,0.1083194284443022,0.10614653117624843,2.006008801247571,0.009648434948431282,0.4870967900319559,4948.453895739349,9.884812481399507,210.82449959381808
0.3725,1342.2818791946308,1.0,9.157011930088268,14.721451984382348,60.76698487211036,0.740393372602159,203.48811330541477,27383.783733806667,0.11631058448879995,0.11364488185667014,2.2918831023383817,0.010233594132732374,0.5192257885588953,4973.738334981845,10.02394948131196,218.8424359602127
0.375,1333.3333333333333,1.0,9.260988580758399,15.341451907092914,65.65674143004478,0.763072193132283,211.0884079606084,27562.966867410803,0.1248466931181845,0.1216192214865599,2.585147872975179,0.010848879845242578,0.5532247518986538,4999.372099150425,10.15975634685411,227.10470384108655
0.3775,1324.5033112582782,1.0,9.360600150616758,15.983475814892326,70.75268206856582,0.7862267868546621,218.91416240770195,27743.64080031902,0.13396231292414806,0.13009644792000905,2.8857855017238636,0.01149554989496955,0.5891879475885715,5025.356794340043,10.292284800290538,235.61692261810285
0.38,1315.7894736842104,1.0,9.455870415444238,16.64817023197901,76.06174260581675,0.8098614953184682,226.9701578356207,27925.79936787431,0.14369406272551755,0.139104800746158,3.193772861809813,0.01217489961749859,0.6272132796048089,5051.691589336272,10.421600873105723,244.3846461479507
0.3825,1307.18954248366,1.0,9.546830746919856,17.336196183598744,81.5911127280853,0.8339806941474464,235.26157551183556,28109.4750109697,0.1540807105769645,0.1486739104000641,3.5090701208829524,0.012888267620526465,0.6674042274860291,5078.385855544228,10.547780419264793,253.4138498333204
0.385,1298.7012987012986,1.0,9.633522685079306,18.048231275216626,87.34819925394764,0.8585885730985667,243.79332702932558,28294.662434126978,0.16516332540553516,0.15883487050811715,3.8316344635707633,0.0136370293348228,0.7098669910254334,5105.437149077288,10.67091161291823,262.7102601660758
0.3875,1290.3225806451612,1.0,9.715995496374294,18.78496891885778,93.34065074307354,0.883689287690161,252.57056971022868,28481.377326685997,0.1769853821914891,0.16962029307872384,4.161410971668051,0.014422602178560732,0.7547127701249589,5132.847448616749,10.791092768434504,272.27987169229016
0.39,1282.051282051282,1.0,9.794305327350507,19.54711892558342,99.57636884157847,0.9092869060040953,261.5983804882297,28669.619221488218,0.1895928973213155,0.18106437523609434,4.498334170592545,0.015246445014141633,0.8020577893210629,5160.621663457448,10.90843157569006,282.12862157837026
0.3925,1273.8853503184712,1.0,9.868515236863866,20.33540778247047,106.0634988585466,0.9353854454821706,270.8820394221489,28859.40285691694,0.20303456463495198,0.19320296612820237,4.842327474844706,0.016110059239593716,0.8520223336206335,5188.759780141695,11.023045306220583,292.26267250436825
0.395,1265.8227848101264,1.0,9.938693352916108,21.15057871640054,112.81045672059855,0.9619888749575917,280.4268675985854,29050.739150798152,0.2173618913165232,0.2060736344911221,5.19330079299094,0.01701499037922529,0.9047325964782575,5217.267752222208,11.135059109569449,302.68825254595527
0.39749999999999996,1257.861635220126,1.0,10.00491262600109,21.99339279240282,119.82593566330284,0.9891010104090112,290.2382202489239,29243.63803034688,0.23262936280530622,0.2197157469386203,5.551154725679948,0.017962825509212015,0.9603184415406327,5246.143573282195,11.24460582472462,313.41164722980596
0.4,1250.0,1.0,10.06724998916983,22.864628450804517,127.11891008370586,1.0167256361293497,300.3215181408674,29438.10816497007,0.24889458002299197,0.23417053653063988,5.915775060667027,0.018955197431929086,1.0189165395165765,5275.393968728927,11.351825402754102,324.4392336677191
0.40249999999999997,1242.2360248447205,1.0,10.125785675928089,23.765082045776794,134.6986476543074,1.0448664686026632,310.68232788147475,29634.16577306392,0.2662184231597024,0.24948118170953248,6.287033501107237,0.01999378448304743,1.0806678450043579,5305.018974375,11.456864352173502,335.7775589539654
