x_alaee,x_mie,C_pathA,C_table1,C_mie_l12,A_ED,T_ED,M_ED,A_MD,T_MD,M_MD,A_EQ,T_EQ,M_EQ,A_MQ,T_MQ,M_MQ
0.08201342281879194,0.25765276662327025,0.00016455223928938328,0.00016455220820301564,0.0001645567055960761,0.00016449305366038054,0.0001644930536603805,0.00016449808179146012,5.588541601555211e-08,5.588541601555208e-08,5.535530175161126e-08,3.299890728778692e-09,3.2688043612010957e-09,3.2681818873824834e-09,3.222583658708957e-13,3.2225836587088994e-13,3.2097697431105405e-13
0.08389261744966442,0.2635564306702846,0.0001888661785720249,0.0001888661377795748,0.00018887178529387424,0.00018879173987125378,0.00018879173987125368,0.00018879808543764546,7.029854612856391e-08,7.029854612856394e-08,6.960126884624758e-08,4.139711527900839e-09,4.098919077885971e-09,4.098146255056363e-09,4.4311467689091367e-13,4.4311467689091326e-13,4.411274963611483e-13
0.08577181208053691,0.26946009471729904,0.00021612984866865718,0.0002161297954610992,0.00021613684533344535,0.000216036687666291,0.00021603668766629103,0.00021604465022640257,8.799309955405022e-08,8.799309955405021e-08,8.708136878895516e-08,5.167297772351128e-09,5.114090214327832e-09,5.113136232766974e-09,6.050397795948446e-13,6.050397795948423e-13,6.020210725587495e-13
0.0876510067114094,0.2753637587643134,0.00024662784249525116,0.00024662777349288055,0.00024663652479380124,0.0002465117999508449,0.0002465117999508449,0.00024652173782948943,1.0962262113087377e-07,1.096226211308737e-07,1.0843721895989726e-07,6.419102658712174e-09,6.35010028810845e-09,6.348929241485148e-09,8.206166771803994e-13,8.206166771803963e-13,8.161104151286083e-13
0.08953020134228187,0.28126742281132777,0.00028066566265524755,0.00028066557366179643,0.00028067637947751104,0.0002805217705646137,0.0002805217705646136,0.00028053411069846204,1.3595335031087724e-07,1.359533503108773e-07,1.344204685122965e-07,7.937634438717883e-09,7.84864098774058e-09,7.84721127844375e-09,1.105884216927616e-12,1.105884216927606e-12,1.0992582723642444e-12
0.09140939597315435,0.28717108685834214,0.00031857082738915275,0.00031857071321835716,0.000318583988697905,0.00031839317274840384,0.00031839317274840384,0.000318408421918631,1.6788085907812962e-07,1.678808590781296e-07,1.659089142868242e-07,9.772300488821067e-09,9.658129693186824e-09,9.656393419027118e-09,1.4811820278657189e-12,1.4811820278657043e-12,1.4715681317054682e-12
0.09328859060402685,0.29307475090535656,0.00036069401655604305,0.00036069387082621196,0.0003607101021653958,0.0003604755854645099,0.0003604755854645101,0.00036049434307737797,2.0644877175945592e-07,2.0644877175945587e-07,2.039246095251772e-07,1.1980347595896644e-08,1.183461776450577e-08,1.183252009922971e-08,1.9721778643524404e-12,1.9721778643524627e-12,1.958393416089674e-12
0.09516778523489933,0.29897841495237093,0.00040741025868605796,0.00040741007357759554,0.0004074298280130654,0.0004071427583811425,0.00040714275838114227,0.0004071657309720606,2.5286978669356813e-07,2.528697866935682e-07,2.496541722141549e-07,1.462790711014176e-08,1.444279864791257e-08,1.4440277231988907e-08,2.6111117885064684e-12,2.611111788506468e-12,2.5915586574748616e-12
0.0970469798657718,0.3048820789993853,0.0004591201601592111,0.00045911992612937704,0.0004591438630172076,0.0004587938163270475,0.00045879381632704755,0.00045882183397948214,3.0854923966724066e-07,3.0854923966724056e-07,3.044715181659421e-07,1.7791154199048884e-08,1.7557124364986824e-08,1.755410872791166e-08,3.4382972433787916e-12,3.438297243378824e-12,3.410831548202838e-12
0.09892617449664429,0.31078574304639967,0.000516251177580676,0.000516250883029118,0.0005162797660824729,0.0005158545040150918,0.0005158545040150914,0.000515888538902577,3.7511147061217444e-07,3.751114706121745e-07,3.6996326367495936e-07,2.155759104659071e-08,2.126303948891636e-08,2.1259450529948e-08,4.503925470005089e-12,4.50392547000512e-12,4.46569093244095e-12
