x,fano_profile
1.3697,0.07338798368289087
1.36988,0.07550534709390504
1.37006,0.07763372239843433
1.37024,0.07977252366299015
1.37042,0.08192118103204363
1.3706,0.08407914035140185
1.3707799999999999,0.08624586279853745
1.37096,0.08842082451982948
1.37114,0.09060351627466276
1.3713199999999999,0.09279344308639992
1.3715,0.09499012390015991
1.37168,0.09719309124733176
1.3718599999999999,0.099401890916818
1.37204,0.10161608163292583
1.37222,0.10383523473981775
1.3723999999999998,0.10605893389250341
1.37258,0.10828677475427727
1.37276,0.11051836470050193
1.37294,0.1127533225287119
1.37312,0.11499127817491306
1.3733,0.1172318724360277
1.37348,0.11947475669835589
1.3736599999999999,0.12171959267201825
1.37384,0.1239660521312668
1.37402,0.12621381666054873
1.3741999999999999,0.12846257740628156
1.37438,0.13071203483422283
1.37456,0.13296189849231613
1.3747399999999999,0.13521188677897011
1.37492,0.1374617267166517
1.3751,0.13971115373067453
1.37528,0.14195991143314068
1.37546,0.14420775141189815
1.37564,0.1464544330244526
1.37582,0.14869972319669622
1.376,0.15094339622641273
1.37618,0.15318523359144104
1.37636,0.1554250237623811
1.3765399999999999,0.15766256201979997
1.37672,0.15989765027582276
1.3769,0.16213009689999408
1.3770799999999999,0.16435971654937082
1.37726,0.16658633000273365
1.37744,0.1688097639988055
1.3776199999999998,0.17102985107844051
1.3778,0.1732464294306753
1.37798,0.17545934274253222
1.3781599999999998,0.1776684400525434
1.37834,0.17987357560788922
1.37852,0.18207460872504574
1.3787,0.18427140365391556
1.3788799999999999,0.18646382944531995
1.37906,0.18865175982180926
1.37924,0.19083507305167285
1.3794199999999999,0.19301365182612645
1.3796,0.1951873831395804
1.37978,0.1973561581728928
1.3799599999999999,0.19951987217958686
1.38014,0.20167842437493957
1.38032,0.20383171782784965
1.3805,0.20597965935547088
1.38068,0.20812215942050225
1.38086,0.21025913203110363
1.38104,0.2123904946433338
1.38122,0.21451616806609733
1.3814,0.21663607636852025
1.38158,0.2187501467896694
1.3817599999999999,0.22085830965060782
1.38194,0.22296049826870476
1.38212,0.22505664887412358
1.3822999999999999,0.22714670052847932
1.38248,0.22923059504559123
1.38266,0.231308276914255
1.3828399999999998,0.23337969322303087
1.38302,0.2354447935869759
1.3832,0.23750353007624858
1.3833799999999998,0.2395558571465857
1.38356,0.24160173157158163
1.38374,0.24364111237670355
1.38392,0.2456739607750455
1.3840999999999999,0.24770024010473976
1.38428,0.24971991576801225
1.38446,0.2517329551718021
1.3846399999999999,0.25373932766995255
1.38482,0.2557390045069123
1.385,0.2577319587628858
1.3851799999999999,0.2597181653004417
1.38536,0.26169760071251874
1.38554,0.2636702432717738
1.38572,0.26563607288128277
1.3859,0.2675950710265219
1.38608,0.2695472207286256
1.38626,0.27149250649885026
1.38644,0.27343091429425914
1.38662,0.27536243147457407
1.3868,0.27728704676014526
1.3869799999999999,0.27920475019105157
1.38716,0.28111553308728116
1.38734,0.28301938800994497
1.3875199999999999,0.28491630872353724
1.3877,0.2868062901591961
1.38788,0.28868932837891803
1.3880599999999998,0.29056542054074147
1.38824,0.29243456486485686
1.38842,0.2942967606005959
1.3885999999999998,0.2961520079943204
1.38878,0.29800030825816537
1.38896,0.29984166353959674
1.38914,0.3016760768918016
1.3893199999999999,0.30350355224485753
1.3895,0.30532409437768493
1.38968,0.30713770889072806
1.3898599999999999,0.3089444021793872
1.39004,0.3107441814081632
1.39022,0.31253705448547603
1.3903999999999999,0.31432303003917933
1.39058,0.3161021173927331
1.39076,0.3178743265419983
1.39094,0.3196396681326779
1.39112,0.32139815343835393
1.3913,0.32314979433913005
1.39148,0.32489460330082975
1.39166,0.32663259335477696
1.39184,0.32836377807812434
1.39202,0.33008817157469544
1.3921999999999999,0.3318057884563671
1.39238,0.33351664382495666
1.39256,0.33522075325458456
1.3927399999999999,0.3369181327745355
1.39292,0.3386087988525874
1.3931,0.34029276837877814
1.3932799999999999,0.3419700586496334
1.39346,0.3436406873528287
1.39364,0.3453046725522515
1.3938199999999998,0.3469620326734942
1.394,0.3486127864897451
1.39418,0.3502569531080505
1.3943599999999998,0.3518945519559742
1.39454,0.35352560276862505
1.39472,0.3551501255760271
1.3949,0.35676814069085866
1.3950799999999999,0.3583796686965211
1.39526,0.35998473043555085
1.39544,0.36158334699833566
1.3956199999999999,0.36317553971216304
1.3958,0.36476133013057555
1.39598,0.366340740023007
1.39616,0.36791379136472985
1.39634,0.3694805063270725
1.39652,0.37104090726792643
1.3967,0.37259501672250034
1.39688,0.3741428573943554
1.39706,0.3756844521466937
1.39724,0.37721982399387893
1.3974199999999999,0.37874899609321455
1.3976,0.3802719917369588
1.39778,0.3817888343445507
1.3979599999999999,0.3832995474550768
1.39814,0.3848041547199551
1.39832,0.3863026798958139
1.3984999999999999,0.3877951468375938
1.39868,0.3892815794918493
1.39886,0.390762001890231
1.3990399999999998,0.39223643814317327
1.39922,0.39370491243376765
1.3994,0.3951674490118005
1.3995799999999998,0.396624072187983
1.39976,0.3980748063283515
1.39994,0.3995196758488187
1.40012,0.4009587052099052
1.4002999999999999,0.40239191891161824
1.40048,0.40381934148849485
1.40066,0.4052409975047766
1.4008399999999999,0.4066569115497472
1.40102,0.4080671082332111
1.4012,0.4094716121810948
1.4013799999999998,0.4108704480311988
1.40156,0.41226364042908065
1.40174,0.41365121402404914
1.40192,0.4150331934653008
1.4021,0.41640960339816757
1.40228,0.4177804684604903
1.40246,0.4191458132790927
1.4026399999999999,0.4205056624663797
1.40282,0.42186004061704613
1.403,0.4232089723048748
1.4031799999999999,0.4245524820796538
1.40336,0.42589059446419253
1.40354,0.427223333951422
1.4037199999999999,0.4285507250016037
1.4039,0.42987279203963114
1.40408,0.4311895594524075
1.4042599999999998,0.43250105158632385
1.40444,0.43380729274482444
1.40462,0.43510830718603877
1.4047999999999998,0.43640411912051025
1.40498,0.43769475270900243
1.40516,0.4389802320603675
1.40534,0.44026058122950573
1.4055199999999999,0.4415358242153871
1.4057,0.4428059849591531
1.40588,0.4440710873422712
1.4060599999999999,0.44533115518477095
1.40624,0.44658621224354383
1.40642,0.4478362822106927
1.4065999999999999,0.4490813887119573
1.40678,0.4503215553051984
1.40696,0.45155680547892724
1.40714,0.4527871626509062
1.40732,0.4540126501667958
1.4075,0.45523329129886436
1.40768,0.4564491092447338
1.40786,0.45766012712619125
1.40804,0.4588663679880478
1.40822,0.46006785479703394
1.4083999999999999,0.4612646104407535
1.40858,0.46245665772668304
1.40876,0.46364401938120264
1.4089399999999999,0.4648267180486826
