2a_over_lambda,ED,MD,EQ,MQ
0.618090,1.880415e-01,1.334412e+00,3.995472e+00,1.051431e+00
0.622111,1.454710e-01,1.330706e+00,4.217802e+00,1.017689e+00
0.626131,1.100518e-01,1.326296e+00,4.424369e+00,9.882832e-01
0.630151,8.101163e-02,1.321105e+00,4.608615e+00,9.626002e-01
0.634171,5.760941e-02,1.315049e+00,4.763914e+00,9.401327e-01
0.638191,3.914853e-02,1.308040e+00,4.884015e+00,9.204573e-01
0.642211,2.498517e-02,1.299984e+00,4.963552e+00,9.032183e-01
0.646231,1.453235e-02,1.290777e+00,4.998525e+00,8.881151e-01
0.650251,7.260964e-03,1.280309e+00,4.986698e+00,8.748914e-01
0.654271,2.698538e-03,1.268459e+00,4.927833e+00,8.633279e-01
0.658291,4.265814e-04,1.255097e+00,4.823720e+00,8.532354e-01
0.662312,7.699223e-05,1.240082e+00,4.677997e+00,8.444495e-01
0.666332,1.327973e-03,1.223261e+00,4.495806e+00,8.368269e-01
0.670352,3.899755e-03,1.204468e+00,4.283317e+00,8.302415e-01
0.674372,7.550349e-03,1.183523e+00,4.047235e+00,8.245819e-01
0.678392,1.207145e-02,1.160231e+00,3.794319e+00,8.197488e-01
0.682412,1.728462e-02,1.134383e+00,3.531002e+00,8.156533e-01
0.686432,2.303772e-02,1.105755e+00,3.263099e+00,8.122152e-01
0.690452,2.920170e-02,1.074106e+00,2.995642e+00,8.093618e-01
0.694472,3.566775e-02,1.039188e+00,2.732806e+00,8.070264e-01
0.698492,4.234466e-02,1.000738e+00,2.477914e+00,8.051476e-01
0.702513,4.915657e-02,9.584933e-01,2.233494e+00,8.036686e-01
0.706533,5.604097e-02,9.121950e-01,2.001374e+00,8.025360e-01
0.710553,6.294692e-02,8.616031e-01,1.782779e+00,8.016996e-01
0.714573,6.983353e-02,8.065159e-01,1.578446e+00,8.011118e-01
0.718593,7.666860e-02,7.467979e-01,1.388715e+00,8.007270e-01
0.722613,8.342751e-02,6.824187e-01,1.213623e+00,8.005010e-01
0.726633,9.009218e-02,6.135064e-01,1.052975e+00,8.003910e-01
0.730653,9.665027e-02,5.404185e-01,9.064082e-01,8.003550e-01
0.734673,1.030944e-01,4.638326e-01,7.734425e-01,8.003515e-01
0.738693,1.094214e-01,3.848585e-01,6.535176e-01,8.003394e-01
0.742714,1.156323e-01,3.051675e-01,5.460244e-01,8.002773e-01
0.746734,1.217310e-01,2.271268e-01,4.503272e-01,8.001236e-01
0.750754,1.277248e-01,1.539171e-01,3.657810e-01,7.998361e-01
0.754774,1.336235e-01,8.958995e-02,2.917431e-01,7.993718e-01
0.758794,1.394395e-01,3.901039e-02,2.275815e-01,7.986865e-01
0.762814,1.451874e-01,7.614952e-03,1.726813e-01,7.977347e-01
0.766834,1.508839e-01,9.337689e-04,1.264480e-01,7.964693e-01
0.770854,1.565477e-01,2.387318e-02,8.830981e-02,7.948415e-01
0.774874,1.621998e-01,7.984893e-02,5.771907e-02,7.928000e-01
0.778894,1.678627e-01,1.699662e-01,3.415261e-02,7.902916e-01
0.782915,1.735613e-01,2.925065e-01,1.711180e-02,7.872601e-01
0.786935,1.793223e-01,4.429373e-01,6.122191e-03,7.836464e-01
0.790955,1.851748e-01,6.145010e-01,7.330063e-04,7.793884e-01
0.794975,1.911500e-01,7.992287e-01,5.164842e-04,7.744202e-01
0.798995,1.972818e-01,9.890792e-01,5.067177e-03,7.686721e-01
0.803015,2.036068e-01,1.176903e+00,1.400124e-02,7.620705e-01
0.807035,2.101646e-01,1.357042e+00,2.695571e-02,7.545369e-01
0.811055,2.169981e-01,1.525545e+00,4.358783e-02,7.459885e-01
0.815075,2.241542e-01,1.680065e+00,6.357438e-02,7.363373e-01
0.819095,2.316838e-01,1.819585e+00,8.661107e-02,7.254899e-01
0.823116,2.396427e-01,1.944078e+00,1.124119e-01,7.133477e-01
0.827136,2.480919e-01,2.054187e+00,1.407085e-01,6.998066e-01
0.831156,2.570989e-01,2.150952e+00,1.712498e-01,6.847569e-01
0.835176,2.667377e-01,2.235612e+00,2.038012e-01,6.680839e-01
0.839196,2.770903e-01,2.309464e+00,2.381442e-01,6.496683e-01
0.843216,2.882477e-01,2.373774e+00,2.740758e-01,6.293871e-01
0.847236,3.003109e-01,2.429728e+00,3.114081e-01,6.071155e-01
0.851256,3.133925e-01,2.478401e+00,3.499675e-01,5.827286e-01
0.855276,3.276181e-01,2.520754e+00,3.895944e-01,5.561055e-01
0.859296,3.431284e-01,2.557630e+00,4.301426e-01,5.271339e-01
0.863317,3.600807e-01,2.589762e+00,4.714789e-01,4.957170e-01
0.867337,3.786513e-01,2.617786e+00,5.134824e-01,4.617838e-01
0.871357,3.990383e-01,2.642249e+00,5.560442e-01,4.253023e-01
0.875377,4.214639e-01,2.663621e+00,5.990665e-01,3.862990e-01
0.879397,4.461774e-01,2.682306e+00,6.424628e-01,3.448846e-01
0.883417,4.734582e-01,2.698650e+00,6.861567e-01,3.012904e-01
0.887437,5.036195e-01,2.712949e+00,7.300822e-01,2.559169e-01
0.891457,5.370105e-01,2.725458e+00,7.741823e-01,2.093997e-01
0.895477,5.740200e-01,2.736397e+00,8.184095e-01,1.626978e-01
0.899497,6.150784e-01,2.745955e+00,8.627250e-01,1.172099e-01
0.903518,6.606589e-01,2.754295e+00,9.070981e-01,7.492376e-02
0.907538,7.112767e-01,2.761560e+00,9.515062e-01,3.860318e-02
0.911558,7.674864e-01,2.767872e+00,9.959344e-01,1.200971e-02
0.915578,8.298743e-01,2.773339e+00,1.040375e+00,1.439765e-04
0.919598,8.990465e-01,2.778056e+00,1.084828e+00,9.467258e-03
0.923618,9.756089e-01,2.782105e+00,1.129298e+00,4.802368e-02
0.927638,1.060138e+00,2.785561e+00,1.173800e+00,1.253268e-01
0.931658,1.153139e+00,2.788489e+00,1.218353e+00,2.518137e-01
0.935678,1.254992e+00,2.790947e+00,1.262981e+00,4.376427e-01
0.939698,1.365880e+00,2.792989e+00,1.307716e+00,6.906982e-01
0.943719,1.485702e+00,2.794662e+00,1.352597e+00,1.013948e+00
0.947739,1.613979e+00,2.796011e+00,1.397667e+00,1.402800e+00
0.951759,1.749749e+00,2.797076e+00,1.442976e+00,1.843588e+00
0.955779,1.891485e+00,2.797895e+00,1.488578e+00,2.314374e+00
0.959799,2.037026e+00,2.798502e+00,1.534537e+00,2.788404e+00
0.963819,2.183582e+00,2.798933e+00,1.580918e+00,3.239256e+00
0.967839,2.327804e+00,2.799218e+00,1.627797e+00,3.645692e+00
0.971859,2.465946e+00,2.799388e+00,1.675253e+00,3.994499e+00
0.975879,2.594131e+00,2.799474e+00,1.723372e+00,4.280778e+00
0.979899,2.708665e+00,2.799504e+00,1.772247e+00,4.506329e+00
0.983920,2.806386e+00,2.799508e+00,1.821979e+00,4.677265e+00
0.987940,2.884956e+00,2.799514e+00,1.872673e+00,4.801765e+00
0.991960,2.943072e+00,2.799551e+00,1.924445e+00,4.888421e+00
0.995980,2.980524e+00,2.799648e+00,1.977414e+00,4.945231e+00
1.000000,2.998131e+00,2.799834e+00,2.031710e+00,4.979129e+00
