x_alaee,epsilon_r,m_real,m_imag,grid_Nu,grid_Ntheta,grid_Nphi,mie_ED,mie_MD,mie_EQ,mie_MQ
0.5738693467336684,6.25,2.5,0.0,60,61,120,1.281563370707079,1.3469369449895097,1.7148935672972327,2.139937784144071
0.577889447236181,6.25,2.5,0.0,60,61,120,1.1353948928502682,1.3469138287718987,1.8718893850451803,1.9311159471459334
0.5819095477386935,6.25,2.5,0.0,60,61,120,0.9962323406590408,1.3468213278384826,2.0408755188965166,1.759737275971659
0.5859296482412061,6.25,2.5,0.0,60,61,120,0.8656014120709024,1.3466106209410125,2.2220065539746052,1.6181648659624792
0.5899497487437186,6.25,2.5,0.0,60,61,120,0.7446252569565077,1.3462321330958864,2.4151716790685582,1.5003642608696919
0.5939698492462312,6.25,2.5,0.0,60,61,120,0.6340253070378847,1.3456352209360196,2.6199085384054577,1.4016280526967873
0.5979899497487438,6.25,2.5,0.0,60,61,120,0.5341485905544497,1.3447678495086555,2.835304579065689,1.318294077246198
0.6020100502512563,6.25,2.5,0.0,60,61,120,0.4450139290944094,1.3435762566223022,3.0598895177230805,1.247505824041835
0.6060301507537689,6.25,2.5,0.0,60,61,120,0.36636901320742726,1.34200460077454,3.2915259684669,1.187022863893141
0.6100502512562815,6.25,2.5,0.0,60,61,120,0.29775117641442067,1.339994588582419,3.5273096589692674,1.135075553088804
0.614070351758794,6.25,2.5,0.0,60,61,120,0.23854623164860386,1.337485077498581,3.7634956447150043,1.0902551800874065
0.6180904522613067,6.25,2.5,0.0,60,61,120,0.1880415246831348,1.3344116494432239,3.9954716303513504,1.0514312595457351
0.6221105527638191,6.25,2.5,0.0,60,61,120,0.1454710427169122,1.3307061508335072,4.217802416563666,1.0176892051296833
0.6261306532663318,6.25,2.5,0.0,60,61,120,0.1100517894267914,1.3262961943754095,4.424368554355804,0.9882831752748565
0.6301507537688442,6.25,2.5,0.0,60,61,120,0.08101162690585596,1.3211046179373016,4.608615337286672,0.9626001971988556
0.6341708542713569,6.25,2.5,0.0,60,61,120,0.0576094063199904,1.3150488959049067,4.763913900325709,0.9401326917988583
0.6381909547738693,6.25,2.5,0.0,60,61,120,0.03914852765592916,1.308040498703501,4.884014995582035,0.9204572831571044
0.642211055276382,6.25,2.5,0.0,60,61,120,0.024985165653671218,1.2999841967774486,4.963551526464215,0.9032183358783058
