x_alaee,lambda_nm,channel,paper_exact_normalized_csca,source_x_px,trace_y_px,nearest_rgb_residual,colour_strength,source_sha256,provenance,gate_role
0.460000,1086.956521739,MD,1.529801325,258.720000,285.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.460000,1086.956521739,EQ,0.509933775,258.720000,329.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.460000,1086.956521739,MQ,0.069536424,258.720000,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.480000,1041.666666667,ED,3.059602649,276.693333,219.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.480000,1041.666666667,MD,1.529801325,276.693333,285.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.480000,1041.666666667,EQ,0.509933775,276.693333,329.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.480000,1041.666666667,MQ,0.069536424,276.693333,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.500000,1000.000000000,ED,3.082781457,294.666667,218.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.500000,1000.000000000,MD,1.529801325,294.666667,285.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.500000,1000.000000000,EQ,0.509933775,294.666667,329.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.500000,1000.000000000,MQ,0.069536424,294.666667,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.540000,925.925925926,ED,3.129139073,330.613333,216.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.540000,925.925925926,MD,1.668874172,330.613333,279.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.540000,925.925925926,EQ,0.509933775,330.613333,329.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.540000,925.925925926,MQ,0.069536424,330.613333,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.580000,862.068965517,ED,3.116158940,366.560000,216.560000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
