x_alaee,epsilon_r,m_real,m_imag,grid_Nu,grid_Ntheta,grid_Nphi,table2_ED,table2_MD,table2_EQ,table2_MQ,abs_err_ED,abs_err_MD,abs_err_EQ,abs_err_MQ,rel_err_ED,rel_err_MD,rel_err_EQ,rel_err_MQ
0.4170854271356784,6.25,2.5,0.0,60,61,120,2.174645088773591,2.2303164827039685,0.04180651149478021,0.006756199088748441,8.767609283033551e-07,9.726009344568354e-07,2.1582983054935223e-07,1.377331795750919e-08,4.031744243311879e-07,4.360818376520632e-07,5.162562208553877e-06,2.038623470858954e-06
0.421105527638191,6.25,2.5,0.0,60,61,120,2.233950806957354,2.1344621325584066,0.04633408751504992,0.008056396778079065,9.595615728663631e-07,8.798718571512154e-07,2.3863767104753686e-07,1.5916259804918398e-08,4.2953586177638165e-07,4.12221646394054e-07,5.1503429716657905e-06,1.9756091572518147e-06
0.42512562814070354,6.25,2.5,0.0,60,61,120,2.2922550330016853,2.0473742087132907,0.05131941017499668,0.009614129538979131,1.0441084326018313e-06,7.884950647962796e-07,2.619070744724894e-07,1.835327297257383e-08,4.554942155890623e-07,3.8512488717084627e-07,5.103444037086672e-06,1.90899320988306e-06
0.4291457286432161,6.25,2.5,0.0,60,61,120,2.3494692093093885,1.9687659775176225,0.05680645532623633,0.01148368611505778,1.1298184712238424e-06,6.982605496030914e-07,2.858825821558386e-07,2.1119869389810142e-08,4.808826649258633e-07,3.546690210647221e-07,5.032546773013256e-06,1.8391227363963756e-06
0.43316582914572865,6.25,2.5,0.0,60,61,120,2.4055014583037067,1.8981142404938245,0.06284333175519799,0.013731945626131456,1.216013060023613e-06,6.0877644103563e-07,3.1079049930826663e-07,2.4255344181073335e-08,5.055135886686339e-07,3.207268734395474e-07,4.945456480856797e-06,1.7663474415658362e-06
0.4371859296482412,6.25,2.5,0.0,60,61,120,2.4602540079318014,1.8347880139587553,0.06948267475546432,0.01644166953202179,1.3019042643946932e-06,5.195503163246684e-07,3.3684070901984775e-07,2.780313015579572e-08,5.291750157230074e-07,2.8316631962541075e-07,4.847813894100103e-06,1.69101909737757e-06
0.44120603015075377,6.25,2.5,0.0,60,61,120,2.513620255723292,1.7781261112818658,0.07678207853873595,0.019715774776748005,1.3865777459542983e-06,4.300398210865808e-07,3.642292858707652e-07,3.181118216066814e-08,5.516260889725249e-07,2.4184995335986094e-07,4.743653272027164e-06,1.613491422373854e-06
0.4452261306532663,6.25,2.5,0.0,60,61,120,2.5654814517701103,1.7274816923393264,0.08480457137849057,0.023682921318518794,1.4689712677373734e-06,3.396829306723248e-07,3.9314116613564654e-07,3.633239418002199e-08,5.725912022649192e-07,1.966347113171874e-07,4.635827258020036e-06,1.534120281431443e-06
0.44924623115577894,6.25,2.5,0.0,60,61,120,2.615702980908069,1.6822460571242885,0.09361913773254896,0.028504875275659584,1.547847325866769e-06,2.479151119949563e-07,4.237525064315628e-07,4.142505792559259e-08,5.917522949305293e-07,1.473714706653196e-07,4.526324410301868e-06,1.4532643179998125e-06
0.4532663316582915,6.25,2.5,0.0,60,61,120,2.664130227072068,1.641859740446259,0.10330129195654687,0.03438629203585845,1.6217578107102781e-06,1.5417823351349114e-07,4.5623258575211434e-07,4.7153374413411164e-08,6.087385599461246e-07,9.390462244572521e-08,4.416504016145103e-06,1.371285948045771e-06
