x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.08402010050251257,0.2639569304925696,0.00019062507013799636,0.00019062505782855175,0.00019055023003501604,0.00019055021842288625,7.067876349946335e-08,7.06781758703944e-08,4.160889035972048e-09,4.160779164875188e-09,4.5044485229776397e-13,4.5063022199761937e-13
0.08894472361809046,0.27942809029416754,0.0002696720146915088,0.0002696720079417276,0.0002695388843683562,0.00026953887884137526,1.2577964791466686e-07,1.2577861824053893e-07,7.349673084526189e-09,7.349479596186316e-09,1.0021533742703514e-12,1.0025156324081534e-12
0.09386934673366835,0.29489925009576556,0.0003746400006636152,0.00037464000662580264,0.0003744102339455301,0.00037441024198613533,2.1717516628913542e-07,2.1717341758528575e-07,1.258941571354295e-08,1.2589085317844124e-08,2.1360824580464165e-12,2.136764181706389e-12
0.09879396984924624,0.3103704098973635,0.0005120734005582669,0.0005120734303210694,0.0005116874455405162,0.0005116874787382726,3.6497264011649134e-07,3.6496975269549046e-07,2.0977996313688745e-08,2.0977447540806714e-08,4.38132059991824e-12,4.382560639667308e-12
0.10371859296482412,0.32584156969896144,0.0006897437850805392,0.0006897438550562814,0.0006891110834790284,0.0006891111589892889,5.98596456366945e-07,5.985918086605337e-07,3.409646497375008e-08,3.4095575974689544e-08,8.68017001268356e-12,8.682357198445265e-12
0.10864321608040202,0.34131272950055946,0.0009168136303988159,0.0009168137640299592,0.000915799052424304,0.0009157991947692343,9.603805001523835e-07,9.60373190510101e-07,5.4180809814505336e-08,5.417940191895544e-08,1.6664544883832717e-11,1.666829589349124e-11
0.1135678391959799,0.35678388930215743,0.00120401507708762,0.0012040153069126885,0.0012024203920312922,0.001202420635289124,1.510312160688062e-06,1.5103009057790378e-06,8.434180570803932e-08,8.433962158407751e-08,3.108993162880543e-11,3.1096201389284e-11
0.1184924623115578,0.3722550491037554,0.0015638446786135113,0.0015638450487322963,0.0015613835402671851,0.0015613839306958177,2.3322386957505497e-06,2.3322217006471745e-06,1.2884314761726826e-07,1.2883982263783119e-07,5.6502958355077476e-11,5.65131933336539e-11
0.12341708542713568,0.38772620890535336,0.0020107750745656373,0.0020107756435417696,0.0020070396041629245,0.002007040203303043,3.5419205317694337e-06,3.5418953262919266e-06,1.9344962149205417e-07,1.9344464663534441e-07,1.0024945202231805e-10,1.0026579893210793e-10
0.12834170854271357,0.40319736870695133,0.002561484502225007,0.0025614853464606003,0.002555901062751413,0.0025559019510516465,5.2974067315430475e-06,5.297369967029407e-06,2.8585877094559903e-07,2.8585144523484506e-07,1.739711049702959e-10,1.739966896692257e-10
0.13326633165829146,0.41866852850854935,0.0032351050158531836,0.003235106233465235,0.0032268761692019424,0.0032268774502041847,7.81231946843884e-06,7.81226666883964e-06,4.162313893629103e-07,4.16220759477933e-07,2.957934393134321e-10,2.95832732881638e-10
0.13819095477386933,0.43413968831014726,0.004053490212553285,0.00405349192777409,0.004041519108780432,0.004041520913896551,1.137277207730493e-05,1.1372697338442599e-05,5.978382163079267e-07,5.9782300056776e-07,4.934792376946577e-10,4.935385286272e-10
0.14311557788944723,0.44961084811174523,0.005041503163230941,0.005041505531345252,0.005024295696187065,0.005024298190088884,1.6358815672447183e-05,1.635871130353721e-05,8.47842457021911e-07,8.478209504329765e-07,8.08914405588887e-10,8.090023984508688e-10
0.14804020100502513,0.46508200791334325,0.006227325114222636,0.0062273283270414285,0.006202864048830547,0.006202867435462111,2.32715207905123e-05,2.327137689270427e-05,1.1882401888541563e-06,1.1882101453279802e-06,1.3044127234661088e-09,1.3045412848364103e-09
0.152964824120603,0.48055316771494117,0.007642785357988985,0.007642789649844004,0.007608369239414103,0.007608373768618964,3.276706371143153e-05,3.276686768936753e-05,1.6469833847642968e-06,1.646941871914523e-06,2.071478685988866e-09,2.0716637575418674e-09
0.1578894472361809,0.4960243275165392,0.009323712470466792,0.009323718124690539,0.009275750398685296,0.009275756373420865,4.5699515730258064e-05,4.569925173462994e-05,2.2593131896814126e-06,2.2592564107890863e-06,3.2428615601270736e-09,3.243124255581373e-09
0.1628140703517588,0.5114954873181372,0.011310306882208377,0.01131031423804054,0.011244058093652221,0.01124406587773767,6.317444532675674e-05,6.317409362881346e-05,3.069334250847914e-06,3.069257327608231e-06,5.008978552386475e-09,5.009346448901232e-09
0.1677386934673367,0.5269666471197352,0.013647534499407947,0.013647543959241922,0.013556779034275575,0.0135567890605892,8.661596068895052e-05,8.661549699218076e-05,4.131864351227749e-06,4.131761059723906e-06,7.640092195110562e-09,7.640600819377039e-09
0.17266331658291456,0.542437806921333,0.016385540835905838,0.016385552872755758,0.01626216424959717,0.0162621770286015,0.00011785047294644213,0.0001178498676465884,5.514597351439257e-06,5.514459802384358e-06,1.1516010791004707e-08,1.1516705284332548e-08
0.17758793969849246,0.5579089667229311,0.019580084885535944,0.01958010005056905,0.01941355581117701,0.01941357193960787,0.00015921128726141136,0.00015921050467413458,7.300621539594409e-06,7.300439792181924e-06,1.716555793437779e-08,1.7166494857645163e-08
0.18251256281407036,0.5733801265245291,0.02329299179797293,0.023293010727909135,0.02306970595938966,0.02306972612889356,0.00021366917998237762,0.0002136681775688384,9.591339952720784e-06,9.591101549354876e-06,2.531864817430919e-08,2.5319897380468113e-08
0.18743718592964823,0.588851286326127,0.027592623383447347,0.027592646807583634,0.027295081103225226,0.02729510610867313,0.0002849954615815796,0.0002849941892168662,1.2509844105139161e-05,1.2509533511785184e-05,3.6974535400484926e-08,3.697618185648583e-08
