panel,channel,x_alaee,grid_coarse,grid_refined,coarse,refined,relative_difference
a,MQ,0.3326633165829146,40x30x60,60x61x120,0.00016195606383483994,0.0001620005771381056,0.0002747724980492489
a,ED,0.33668341708542715,40x30x60,60x61x120,0.93927856523994,0.9393110046563485,3.4535330947583344e-05
a,MD,0.33668341708542715,40x30x60,60x61x120,0.5815748454801204,0.5815537383383208,3.6294396215046126e-05
a,EQ,0.33668341708542715,40x30x60,60x61x120,0.00449214690423686,0.0044886250403252765,0.0007846197621639456
a,MQ,0.33668341708542715,40x30x60,60x61x120,0.00019500810795599355,0.0001950690440501638,0.00031238218481542424
a,ED,0.3407035175879397,40x30x60,60x61x120,0.9953968424997871,0.9954301314216389,3.344174623717207e-05
a,MD,0.3407035175879397,40x30x60,60x61x120,0.718918513672033,0.7188928988319042,3.563095444449632e-05
a,EQ,0.3407035175879397,40x30x60,60x61x120,0.00507204984861158,0.005067993970089697,0.0008002926889455762
a,MQ,0.3407035175879397,40x30x60,60x61x120,0.00023449107589332488,0.00023457503692380678,0.0003579282415680478
a,ED,0.34472361809045227,40x30x60,60x61x120,1.0528968015924538,1.0529300334428149,3.156130920914283e-05
a,MD,0.34472361809045227,40x30x60,60x61x120,0.8864661159124966,0.8864351337460555,3.495141975037743e-05
a,EQ,0.34472361809045227,40x30x60,60x61x120,0.005719706330229847,0.0057150833441132615,0.0008089096585699074
a,MQ,0.34472361809045227,40x30x60,60x61x120,0.00028161234254276036,0.0002817282584680629,0.00041144585897360435
a,ED,0.3487437185929648,40x30x60,60x61x120,1.1116588924626487,1.1116908019228842,2.8703538951895532e-05
a,MD,0.3487437185929648,40x30x60,60x61x120,1.0877168950467675,1.0876796395826371,3.4252240066436e-05
a,EQ,0.3487437185929648,40x30x60,60x61x120,0.00644227379104043,0.0064370793620475335,0.000806954318991731
a,MQ,0.3487437185929648,40x30x60,60x61x120,0.00033780240406960937,0.00033796197419861524,0.0004721540918449231
a,ED,0.3527638190954774,40x30x60,60x61x120,1.1715565372955008,1.171585466685854,2.469251384202911e-05
